Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-uhe4,randomiser-r7fb,checkpoint-mnac,branch-hilv,randomiser-hr2x,checkpoint-cks2,checkpoint-d6jh,randomiser-hr9o,checkpoint-jk6r,randomiser-8myq,checkpoint-lpef,checkpoint-8p6q,randomiser-fslx,randomiser-1ls2,checkpoint-j7fq,checkpoint-n8cs,randomiser-z5ou,randomiser-kdpl,Question Key,Response
1,1594825919579,15/07/2020 15:11:59,1594825917236,-7,15/07/2020 08:11:57,10169,128,questionnaire-dphd,,6073735,5e3164a8c544f6148598e5d3,1714624,,complete,,5f0f1b94363557072aceb614,computer,Desktop or Laptop,Windows 10,Firefox 78.0,1920x1080,1267x864,Test_Checkpoint,H-2. RFBG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1594825934704,15/07/2020 15:12:14,1594825933053,-7,15/07/2020 08:12:13,10169,128,questionnaire-dphd,,6073735,5e3164a8c544f6148598e5d3,1714624,,complete,,5f0f1b94363557072aceb614,computer,Desktop or Laptop,Windows 10,Firefox 78.0,1920x1080,1267x864,Test_Checkpoint,H-2. RFBG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_4_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,15817
1,1594826010313,15/07/2020 15:13:30,1594826145597,1,15/07/2020 16:15:45,10169,128,questionnaire-dphd,,6073821,5d572fb5eeee820016087be3,1714610,,complete,,5f0f1b9244d88b05d603d1e1,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1536x864,1526x686,Test_Checkpoint,H-2. RFBG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1594826045232,15/07/2020 15:14:05,1594826180604,1,15/07/2020 16:16:20,10169,128,questionnaire-dphd,,6073821,5d572fb5eeee820016087be3,1714610,,complete,,5f0f1b9244d88b05d603d1e1,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1536x864,1526x686,Test_Checkpoint,H-2. RFBG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,35009
1,1594826193665,15/07/2020 15:16:33,1594826193432,1,15/07/2020 16:16:33,10169,128,questionnaire-dphd,,6073946,58efec0c95e1480001305bd2,1714664,,complete,,5f0f1b86ef624905fdb4d091,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x1024,1280x881,Test_Checkpoint,H-2. RFBG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1594826295220,15/07/2020 15:18:15,1594826294922,1,15/07/2020 16:18:14,10169,128,questionnaire-dphd,,6073946,58efec0c95e1480001305bd2,1714664,,complete,,5f0f1b86ef624905fdb4d091,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x1024,1280x881,Test_Checkpoint,H-2. RFBG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,101490
1,1594826300985,15/07/2020 15:18:20,1594826300621,-7,15/07/2020 08:18:20,10169,128,questionnaire-dphd,,6073985,5dd8c6e24c97928688acd05d,1714620,,complete,,5f0f1b8c42eee906c5e9c095,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1600x900,1600x767,Test_Checkpoint,H-2. RFBG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1594826357007,15/07/2020 15:19:17,1594826356679,-7,15/07/2020 08:19:16,10169,128,questionnaire-dphd,,6073985,5dd8c6e24c97928688acd05d,1714620,,complete,,5f0f1b8c42eee906c5e9c095,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1600x900,1600x767,Test_Checkpoint,H-2. RFBG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,56058
1,1594826837834,15/07/2020 15:27:17,1594826831187,1,15/07/2020 16:27:11,10169,128,questionnaire-dphd,,6074226,5e9f31ca9b0a040704ee0bad,1714727,,complete,,5f0f1b8ac5a6a705701645fb,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,Test_Checkpoint,H-2. RFBG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,BEGIN QUESTIONNAIRE,
2,1594827451948,15/07/2020 15:37:31,1594827445323,1,15/07/2020 16:37:25,10169,128,questionnaire-dphd,,6074226,5e9f31ca9b0a040704ee0bad,1714727,,complete,,5f0f1b8ac5a6a705701645fb,computer,Desktop or Laptop,Windows 10,Chrome 83.0.4103.116,1280x720,1280x578,Test_Checkpoint,H-2. RFBG__Ins__COLOUR,3,,,Consent Given,Consented,Experiment4__Colour,,Test_Checkpoint,study_1_colour,A_Checkpoint_Col,Col_RFBG,,,,,,,,,END QUESTIONNAIRE,614137
END OF FILE
